#ID,INTERNALNAME,Name,Type,Appeal,Jamming,Effect,"description"
330,FLAIL,Flail,Cute,1,0,023,"It works better the later it is performed."
331,FRUSTRATION,Frustration,Cute,1,0,031,"Gets the crowd going!"
332,GUILLOTINE,Guillotine,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
333,HIDDENPOWER,Hidden Power,Smart,3,0,015,"Can be repeatedly used without boring the judge."
334,HORNDRILL,Horn Drill,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
335,NATURALGIFT,Natural Gift,Cool,2,0,021,"The appeal works great if performed last."
336,PRESENT,Present,Cute,4,0,038,"Works better the less the crowd is excited."
337,RETURN,Return,Cute,1,0,031,"Gets the crowd going!"
338,SONICBOOM,SonicBoom,Cool,2,0,025,"Works well if its the same type as the one before."
339,SPITUP,Spit Up,Tough,4,0,000,"A highly appealing move."
340,SUPERFANG,Super Fang,Tough,3,0,000,"A highly appealing move."
341,TRUMPCARD,Trump Card,Cool,1,0,039,"Appeal is better the later the round."
342,WRINGOUT,Wring Out,Smart,2,0,040,"Works better if the last appeal was good."
343,ACUPRESSURE,Acupressure,Cool,0,0,027,"User earns double the score in it's next appeal."
344,AFTERYOU,After You,Cute,2,0,011,"The user will appeal later in the next turn."
345,ASSIST,Assist,Cute,1,0,028,"Increases the users appeal by varying amounts."
346,ATTRACT,Attract,Cute,2,0,017,"Makes all Pokemon after the user nervous."
347,BATONPASS,Baton Pass,Cute,2,0,017,"Makes all Pokemon after the user nervous."
348,BELLYDRUM,Belly Drum,Cute,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
349,BESTOW,Bestow,Cute,2,0,036,"Increases if crowd excitement increases."
350,BLOCK,Block,Cute,2,0,017,"Makes all Pokemon after the user nervous."
351,CAMOUFLAGE,Camouflage,Smart,3,0,029,"The appeal performs well if the last Pokemon's didn't."
352,CAPTIVATE,Captivate,Beauty,2,0,013,"Temporarily stops the crowd from growing excited."
353,CHARM,Charm,Cute,2,1,006,"Startles the Pokemon that made a same-type appeal."
354,CONVERSION,Conversion,Beauty,2,0,001,"Can avoid being startled by others once."
355,CONVERSION2,Conversion 2,Beauty,2,0,001,"Can avoid being startled by others once."
356,COPYCAT,Copycat,Cool,1,0,034,"Earns the same amount as the last appeal."
357,DEFENSECURL,Defense Curl,Cute,2,0,001,"Can avoid being startled by others once."
358,DISABLE,Disable,Smart,2,0,017,"Makes all Pokemon after the user nervous."
359,DOUBLETEAM,Double Team,Cool,2,0,001,"Can avoid being startled by others once."
360,ENCORE,Encore,Cute,2,0,017,"Makes all Pokemon after the user nervous."
361,ENDURE,Endure,Tough,2,0,001,"Can avoid being startled by others once."
362,ENTRAINMENT,Entrainment,Cute,2,0,036,"Increases if crowd excitement increases."
363,FLASH,Flash,Beauty,3,0,017,"Makes all Pokemon after the user nervous."
364,FOCUSENERGY,Focus Energy,Cool,1,3,005,"Badly startles those that have made appeals."
365,FOLLOWME,Follow Me,Cute,2,0,024,"Scrambles the order of appeals on the next turn."
366,FORESIGHT,Foresight,Tough,3,0,026,"The next appeal can be made later next turn."
367,GLARE,Glare,Tough,1,3,005,"Badly startles those that have made appeals."
368,GROWL,Growl,Cute,2,0,021,"The appeal works great if performed last."
369,GROWTH,Growth,Beauty,1,0,004,"Ups the user condition.  Helps prevent nervousness."
370,HARDEN,Harden,Tough,2,0,001,"Can avoid being startled by others once,"
371,HEALBELL,Heal Bell,Beauty,2,0,021,"The appeal works great if performed last."
372,HELPINGHAND,Helping Hand,Smart,2,0,017,"Makes all Pokemon after the user nervous."
373,HOWL,Howl,Cool,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
374,LEER,Leer,Cool,3,0,13,"Temporarily stops the crowd from growing excited."
375,LOCKON,Lock-On,Smart,3,0,13,"Temporarily stops the crowd from growing excited."
376,LOVELYKISS,Lovely Kiss,Beauty,2,0,13,"Temporarily stops the crowd from growing excited."
377,LUCKYCHANT,Lucky Chant,Cute,2,0,001,"Can avoid being startled by others once,"
378,MEFIRST,Me First,Cute,2,0,003,"The next appeal can be made earlier next turn."
379,MEANLOOK,Mean Look,Beauty,2,0,017,"Makes all Pokemon after the user nervous."
380,METRONOME,Metronome,Cute,2,0,024,"Scrambles the order of appeals on the next turn."
381,MILKDRINK,Milk Drink,Cute,1,0,033,"Does better based on crowd excitement."
382,MIMIC,Mimic,Cute,1,0,034,"Earns the same amount as the last appeal."
383,MINDREADER,Mind Reader,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
384,MINIMIZE,Minimize,Cute,2,0,001,"Can avoid being startled by others once."
385,MOONLIGHT,Moonlight,Beauty,1,0,020,"The appeals quality depends on its timing."
386,MORNINGSUN,Morning Sun,Beauty,1,0,020,"The appeals quality depends on its timing."
387,NATUREPOWER,Nature Power,Beauty,1,0,033,"Does better based on crowd excitement."
388,ODORSLEUTH,Odor Sleuth,Smart,3,0,032,"Removes a star from Pokemon that have appealed already."
389,PAINSPLIT,Pain Split,Smart,2,1,005,"Startles those that have made appeals."
390,PERISHSONG,Perish Song,Beauty,2,1,012,"Badly startles all Pokemon that made good appeals."
391,PROTECT,Protect,Cute,1,0,002,"Can avoid being startled by others."
392,PSYCHUP,Psych Up,Smart,0,0,027,"User earns double the score in it's next appeal."
393,RECOVER,Recover,Smart,1,0,041,"Appeal equals the crowd excitement."
394,RECYCLE,Recycle,Smart,1,0,034,"Earns the same amount as the last appeal."
395,REFLECTTYPE,Reflect Type,Smart,2,2,032,"Startles the Pokemon who used the same move type."
396,REFRESH,Refresh,Cute,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
397,ROAR,Roar,Cool,2,0,017,"Makes all Pokemon after the user nervous."
398,SAFEGUARD,Safeguard,Beauty,2,0,002,"Can avoid being startled by others."
399,SCARYFACE,Scary Face,Tough,2,1,007,"Startles the Pokemon that has the judge's attention."
400,SCREECH,Screech,Smart,2,1,005,"Badly startles those that have made appeals."
401,SHARPEN,Sharpen,Cute,0,0,027,"User earns double the score in it's next appeal."
402,SHELLSMASH,Shell Smash,Cool,2,0,027,"User earns double the score in it's next appeal."
403,SIMPLEBEAM,Simple Beam,Cool,4,0,000,"A highly appealing move."
404,SING,Sing,Cute,2,0,017,"Makes all Pokemon after the user nervous."
405,SKETCH,Sketch,Smart,1,0,034,"Earns the same amount as the last appeal."
406,SLACKOFF,Slack Off,Cute,1,0,023,"It works better the later it is performed."
407,SLEEPTALK,Sleep Talk,Cute,3,0,015,"Can be repeatedly used without boring the judge."
408,SMOKESCREEN,SmokeScreen,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
409,SOFTBOILED,Softboiled,Beauty,1,0,041,"Appeal equals the crowd excitement."
410,SPLASH,Splash,Cute,2,0,021,"The appeal works great if performed last."
411,STOCKPILE,Stockpile,Tough,2,0,001,"Can avoid being startled by others once."
412,SUBSTITUTE,Substitute,Smart,2,0,002,"Can avoid being startled by others."
413,SUPERSONIC,Supersonic,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
414,SWAGGER,Swagger,Cute,2,0,014,"The appeal works great if performed first."
415,SWALLOW,Swallow,Tough,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
416,SWEETKISS,Sweet Kiss,Cute,2,0,001,"Can avoid being startled by others once."
417,SWEETSCENT,Sweet Scent,Cute,1,3,005,"Badly startles those that have made appeals."
418,SWORDSDANCE,Swords Dance,Beauty,1,0,004,"Ups the user condition.  Helps prevent nervousness."
419,TAILWHIP,Tail Whip,Cute,2,0,021,"The appeal works great if performed last."
420,TEETERDANCE,Teeter Dance,Cute,4,4,005,"Badly startles those that have made appeals."
421,TICKLE,Tickle,Cute,3,0,032,"Removes a star from Pokemon that have appealed already."
422,TRANSFORM,Transform,Smart,1,0,034,"Earns the same amount as the last appeal."
423,WHIRLWIND,Whirlwind,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
424,WISH,Wish,Cute,3,0,013,"Temporarily stops the crowd from growing excited."
425,WORKUP,Work Up,Tough,2,0,003,"The next appeal can be made earlier next turn."
426,YAWN,Yawn,Cute,2,0,017,"Makes all Pokemon after the user nervous."
427,GUNKSHOT,Gunk Shot,Cool,4,0,000,"A highly appealing move."
428,SLUDGEWAVE,Sludge Wave,Tough,1,4,008,"Badly startles the Pokemon in front."
429,SLUDGEBOMB,Sludge Bomb,Tough,2,1,007,"Startles the Pokemon that has the judge's attention."
430,POISONJAB,Poison Jab,Smart,2,3,008,"Badly startles the Pokemon in front."
431,CROSSPOISON,Cross Poison,Smart,2,4,005,"Badly startles the Pokemon that have made appeals."
432,SLUDGE,Sludge,Tough,1,4,008,"Badly startles the Pokemon in front."
433,VENOSHOCK,Venoshock,Smart,3,1,005,"Badly startles those that have made appeals."
434,CLEARSMOG,Clear Smog,Tough,1,3,005,"Badly startles those that have made appeals."
436,POISONTAIL,Poison Tail,Smart,3,0,032,"Removes a star from Pokemon that have appealed already."
437,ACID,Acid,Smart,2,3,005,"Badly startles those that have made appeals."
438,ACIDSPRAY,Acid Spray,Smart,3,1,005,"Badly startles those that have made appeals."
439,SMOG,Smog,Tough,1,3,005,"Badly startles those that have made appeals."
440,POISONSTING,Poison Sting,Smart,2,3,008,"Badly startles the Pokemon in front."
441,ACIDARMOR,Acid Armor,Tough,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
442,COIL,Coil,Smart,2,0,001,"Can avoid being startled by others once."
443,GASTROACID,Gastro Acid,Beauty,2,0,013,"Temporarily stops the crowd from growing excited."
444,POISONGAS,Poison Gas,Smart,3,0,032,"Removes a star from Pokemon that have appealed already."
445,POISONPOWDER,PoisonPowder,Smart,3,0,022,"Worsens the condition of those that made appeals."
446,TOXIC,Toxic,Smart,3,0,032,"Removes a star from Pokemon that have appealed already."
447,TOXICSPIKES,Toxic Spikes,Smart,2,0,017,"Makes all Pokemon after the user nervous."
448,PSYCHOBOOST,Psycho Boost,Smart,6,0,010,"After this move, the user is more easily startled."
449,DREAMEATER,Dream Eater,Smart,2,2,005,"Badly startles those that have made appeals."
450,FUTURESIGHT,Future Sight,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
451,PSYSTRIKE,Psystrike,Smart,1,3,005,"Badly startles those that have made appeals."
452,PSYCHIC,Psychic,Smart,1,3,005,"Badly startles those that have made appeals."
453,EXTRASENSORY,Extrasensory,Cool,1,4,005,"Badly startles those that have made appeals."
454,PSYSHOCK,Psyshock,Smart,3,0,017,"Makes all Pokemon after the user nervous."
455,ZENHEADBUTT,Zen Headbutt,Beauty,2,0,021,"The appeal works great if performed last."
456,LUSTERPURGE,Luster Purge,Smart,2,3,005,"Badly startles those that have made appeals."
457,MISTBALL,Mist Ball,Smart,1,4,008,"Badly startles the Pokemon in front."
458,PSYCHOCUT,Psycho Cut,Smart,2,0,014,"The appeal works great if performed first."
459,SYNCHRONOISE,Synchronoise,Smart,1,0,041,"Appeal equals the crowd excitement."
460,PSYBEAM,Psybeam,Beauty,3,0,024,"Scrambles the order of appeals on the next turn."
461,HEARTSTAMP,Heart Stamp,Smart,2,0,014,"The appeal works great if performed first."
462,CONFUSION,Confusion,Smart,2,3,005,"Badly startles those that have made appeals."
463,MIRRORCOAT,Mirror Coat,Beauty,2,0,001,"Can avoid being startled by others once."
464,PSYWAVE,Psywave,Smart,2,1,012,"Badly startles all Pokemon that made good appeals."
465,STOREDPOWER,Stored Power,Smart,3,1,005,"Startles those that have made appeals."
466,AGILITY,Agility,Cool,3,0,003,"The appeal can be made earlier next turn."
467,ALLYSWITCH,Ally Switch,Smart,2,0,001,"Can avoid being startled by others once."
468,AMNESIA,Amnesia,Cute,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
469,BARRIER,Barrier,Cool,1,0,002,"Can avoid being startled by others."
470,CALMMIND,Calm Mind,Smart,2,0,001,"Can avoid being startled by others once."
471,COSMICPOWER,Cosmic Power,Cool,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
472,GRAVITY,Gravity,Beauty,2,0,013,"Temporarily stops the crowd from growing excited."
473,GUARDSPLIT,Guard Split,Cool,2,0,001,"Can avoid being startled by others once."
474,GUARDSWAP,Guard Swap,Cute,4,0,038,"Works better the less the crowd is excited."
475,HEALBLOCK,Heal Block,Cute,2,0,013,"Temporarily stops the crowd from growing excited."
476,HEALPULSE,Heal Pulse,Cute,4,0,000,"A highly appealing move."
477,HEALINGWISH,Healing Wish,Cute,1,0,041,"Appeal equals the crowd excitement."
478,HEARTSWAP,Heart Swap,Cool,4,0,038,"Works better the less the crowd is excited."
479,HYPNOSIS,Hypnosis,Smart,1,3,005,"Badly startles those that have made appeals."
480,IMPRISON,Imprison,Smart,3,0,032,"Removes a star from Pokemon that have appealed already."
481,KINESIS,Kinesis,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
482,LIGHTSCREEN,Light Screen,Beauty,1,0,002,"Can avoid being startled by others."
483,LUNARDANCE,Lunar Dance,Beauty,1,0,041,"Appeal equals the crowd excitement."
484,MAGICCOAT,Magic Coat,Beauty,1,0,002,"Can avoid being startled by others."
485,MAGICROOM,Magic Room,Smart,3,0,002,"Can avoid being startled by others."
486,MEDITATE,Meditate,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
487,MIRACLEEYE,Miracle Eye,Cute,1,0,040,"Works better if the last appeal was good."
488,POWERSPLIT,Power Split,Cool,1,0,034,"Earns the same amount as the last appeal."
489,POWERSWAP,Power Swap,Beauty,4,0,038,"Works better the less the crowd is excited."
490,POWERTRICK,Power Trick,Cool,4,0,038,"Works better the less the crowd is excited."
491,PSYCHOSHIFT,Psycho Shift,Cool,2,0,040,"Works better if the last appeal was good."
492,REFLECT,Reflect,Smart,1,0,002,"Can avoid being startled by others."
493,REST,Rest,Cute,2,0,001,"Can avoid being startled by others once."
494,ROLEPLAY,Role Play,Cute,1,0,030,"Earns half as much as the previous Pokemon's appeal."
495,SKILLSWAP,Skill Swap,Smart,1,0,030,"Earns half as much as the previous Pokemon's appeal."
496,TELEKINESIS,Telekinesis,Smart,2,0,034,"Earns the same amount as the last appeal."
497,TELEPORT,Teleport,Cool,1,0,002,"Can avoid being startled by others."
498,TRICK,Trick,Smart,2,0,025,"Works well if its the same type as the one before."
499,TRICKROOM,Trick Room,Cute,2,0,024,"Scrambles the order of appeals on the next turn."
500,WONDERROOM,Wonder Room,Smart,3,0,003,"The next appeal can be made earlier next turn."
501,HEADSMASH,Head Smash,Tough,6,0,010,"After this move, the user is more easily startled."
502,ROCKWRECKER,Rock Wrecker,Tough,6,0,010,"After this move, the user is more easily startled."
503,STONEEDGE,Stone Edge,Tough,2,0,036,"Increases if crowd excitement increases."
504,ROCKSLIDE,Rock Slide,Tough,1,3,005,"Badly startles those that have made appeals."
505,POWERGEM,Power Gem,Beauty,4,0,000,"An appealing move."
506,ANCIENTPOWER,AncientPower,Tough,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
507,ROCKTHROW,Rock Throw,Tough,2,0,025,"Works well if its the same type as the one before."
508,ROCKTOMB,Rock Tomb,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
509,SMACKDOWN,Smack Down,Tough,3,1,007,"Startles the Pokemon that has the judges attention."
510,ROLLOUT,Rollout,Tough,3,0,013,"Temporarily stops the crowd from growing excited."
511,ROCKBLAST,Rock Blast,Tough,2,0,015,"Can be repeatedly used without boring the judge."
512,ROCKPOLISH,Rock Polish,Tough,2,0,003,"The next appeal can be made earlier next turn."
513,SANDSTORM,Sandstorm,Tough,3,0,024,"Scrambles the order of appeals on the next turn."
514,STEALTHROCK,Stealth Rock,Cool,2,0,013,"Temporarily stops the crowd from growing excited."
515,WIDEGUARD,Wide Guard,Cool,2,0,001,"Can avoid being startled by others once."
516,DOOMDESIRE,Doom Desire,Cool,2,0,014,"The appeal works great if performed first."
517,IRONTAIL,Iron Tail,Cool,1,4,008,"Badly startles the Pokemon in front."
518,METEORMASH,Meteor Mash,Cool,2,0,025,"Works well if its the same type as the one before."
519,FLASHCANNON,Flash Cannon,Smart,2,0,014,"The appeal works great if performed first."
520,IRONHEAD,Iron Head,Cool,1,4,008,"Badly startles the Pokemon in front."
521,STEELWING,Steel Wing,Cool,2,0,025,"Works well if its the same type as the one before."
522,MIRRORSHOT,Mirror Shot,Cute,2,0,014,"The appeal works great if performed first."
523,MAGNETBOMB,Magnet Bomb,Cool,4,0,000,"A highly appealing move."
524,GEARGRIND,Gear Grind,Smart,2,0,003,"The next appeal can be made earlier next turn."
525,METALCLAW,Metal Claw,Cool,4,0,000,"A highly appealing move."
526,BULLETPUNCH,Bullet Punch,Smart,2,0,003,"The next appeal can be made earlier next turn."
527,GYROBALL,Gyro Ball,Beauty,2,0,021,"The appeal works great if performed last."
528,HEAVYSLAM,Heavy Slam,Tough,4,0,000,"A highly appealing move."
529,METALBURST,Metal Burst,Beauty,2,0,003,"The next appeal can be made earlier next turn."
530,AUTOTOMIZE,Autotomize,Cool,3,0,003,"The next appeal can be made earlier next turn."
531,IRONDEFENSE,Iron Defense,Tough,1,0,002,"Can avoid being startled by others."
532,METALSOUND,Metal Sound,Smart,1,3,005,"Badly startles those that have made appeals."
533,SHIFTGEAR,Shift Gear,Cool,3,0,003,"The next appeal can be made earlier next turn."
534,HYDROCANNON,Hydro Cannon,Beauty,2,0,040,"Works better if the last appeal was good."
535,WATERSPOUT,Water Spout,Beauty,1,0,023,"It works better the later it is performed."
536,HYDROPUMP,Hydro Pump,Beauty,4,0,000,"A highly appealing move."
537,MUDDYWATER,Muddy Water,Tough,2,0,007,"Startles the Pokemon that has the judges attention."
538,SURF,Surf,Beauty,3,0,009,"Affected by how well the appeal in front goes."
539,AQUATAIL,Aqua Tail,Cute,3,0,000,"An appealing move."
540,CRABHAMMER,Crabhammer,Tough,3,0,009,"Affected by how well the appeal in front goes."
541,DIVE,Dive,Beauty,2,0,001,"Can avoid being startled by others once."
542,SCALD,Scald,Beauty,3,1,005,"Badly startles those that have made appeals."
543,WATERFALL,Waterfall,Tough,2,0,021,"The appeal works great if performed last."
544,RAZORSHELL,Razor Shell,Beauty,3,1,005,"Badly startles those that have made appeals."
545,BRINE,Brine,Smart,2,0,036,"Increases if crowd excitement increases."
546,BUBBLEBEAM,BubbleBeam,Beauty,1,3,005,"Badly startles those that have made appeals."
547,OCTAZOOKA,Octazooka,Tough,2,0,036,"Increases if crowd excitement increases."
548,WATERPULSE,Water Pulse,Beauty,3,0,024,"Scrambles the order of appeals on the next turn."
549,WATERPLEDGE,Water Pledge,Cute,4,0,000,"A highly appealing move."
550,AQUAJET,Aqua Jet,Beauty,2,0,003,"The next appeal can be made earlier next turn."
551,WATERGUN,Water Gun,Cute,4,0,000,"A highly appealing move."
552,CLAMP,Clamp,Tough,3,0,013,"Temporarily stops the crowd from growing excited."
553,WHIRLPOOL,Whirlpool,Beauty,3,0,013,"Temporarily stops the crowd from growing excited."
554,BUBBLE,Bubble,Cute,2,2,005,"Badly startles those that have made appeals."
555,AQUARING,Aqua Ring,Beauty,1,0,033,"Does better based on crowd excitement."
556,RAINDANCE,Rain Dance,Tough,1,0,019,"The appeal works the best the more the crowd is excited."
557,SOAK,Soak,Beauty,2,0,025,"Works well if its the same type as the one before."
558,WATERSPORT,Water Sport,Cute,4,0,000,"A highly appealing move."
559,WITHDRAW,Withdraw,Cute,2,0,013,"Temporarily stops the crowd from growing excited."
560,SHADOWBOLT,Shadow Bolt,Cool,4,0,000,"A highly appealing move."
561,SHADOWBREAK,Shadow Break,Cool,4,0,000,"A highly appealing move."
562,SHADOWCHILL,Shadow Chill,Cool,4,0,000,"A highly appealing move."
563,SHADOWFIRE,Shadow Fire,Cool,4,0,000,"A highly appealing move."
564,SHADOWRAVE,Shadow Rave,Cool,4,0,000,"A highly appealing move."
565,SHADOWRUSH,Shadow Rush,Cool,4,0,000,"A highly appealing move."
566,SHADOWWAVE,Shadow Wave,Cool,4,0,000,"A highly appealing move."
567,SHADOWBLITZ,Shadow Blitz,Cool,4,0,000,"A highly appealing move."
568,SHADOWDOWN,Shadow Down,Cool,4,0,000,"A highly appealing move."
569,SHADOWHALF,Shadow Half,Cool,4,0,000,"A highly appealing move."
570,SHADOWHOLD,Shadow Hold,Cool,4,0,000,"A highly appealing move."
571,SHADOWMIST,Shadow Mist,Cool,4,0,000,"A highly appealing move."
572,SHADOWPANIC,Shadow Panic,Cool,4,0,000,"A highly appealing move."
573,SHADOWSHED,Shadow Shed,Cool,4,0,000,"A highly appealing move."
574,SHADOWSKY,Shadow Sky,Cool,4,0,000,"A highly appealing move."
575,SHADOWEND,Shadow End,Cool,4,0,000,"A highly appealing move."
576,SHADOWSTORM,Shadow Storm,Cool,4,0,000,"A highly appealing move."
577,SHADOWBLAST,Shadow Blast,Cool,4,0,000,"A highly appealing move."
#-------------------------------
#Adding missing moves#
#-------------------------------
578,FELLSTINGER,Fell Stinger,Cool,1,0,019,"The appeal works the best the more the crowd is excited."
579,INFESTATION,Infestation,Cute,3,0,013,"Temporarily stops the crowd from growing excited."
580,POWDER,Powder,Smart,4,0,013,"Temporarily stops the crowd from growing excited."
581,STICKYWEB,Sticky Web,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
#------------------------------
582,HYPERSPACEFURY,Hyperspace Fury,Tough,3,0,014,"The appeal works great if performed first."
583,DARKESTLARIAT,Darkest Lariat,Tough,2,2,007,"Startles the Pokemon that has the judges attention."
584,THROATCHOP,Throat Chop,Tough,1,3,005,"Badly startles those that have made appeals."
585,BRUTALSWING,Brutal Swing,Cool,3,0,024,"Scrambles the order of appeals on the next turn."
586,POWERTRIP,Power Trip,Smart,0,0,027,"User earns double the score in it's next appeal."
587,PARTINGSHOT,Parting Shot,Cool,3,0,021,"The appeal works great if performed last."
588,TOPSYTURVY,Topsy-Turvy,Smart,3,0,024,"Scrambles the order of appeals on the next turn."
#-----------------------------
589,CLANGINGSCALES,Clanging Scales,Tough,2,0,017,"Makes all Pokemon after the user nervous."
590,COREENFORCER,Core Enforcer,Tough,2,2,007,"Startles the Pokemon that has the judges attention."
591,DRAGONHAMMER,Dragon Hammer,Cool,2,0,014,"The appeal works great if performed first."
#-----------------------------
592,PLASMAFISTS,Plasma Fists,Smart,2,0,025,"Works well if its the same type as the one before."
593,ZINGZAP,Zing Zap,Cool,1,3,005,"Badly startles those that have made appeals."
594,PARABOLICCHARGE,Parabolic Charge,Smart,1,0,034,"Earns the same amount as the last appeal."
595,NUZZLE,Nuzzle,Cute,2,1,006,"Startles Pokemon that made the same type appeal."
596,EERIEIMPULSE,Eerie Impulse,Smart,1,3,005,"Startles the Pokemon that appealed before the user."
597,ELECTRICTERRAIN,Electric Terrain,Smart,3,0,014,"The appeal works great if performed first."
598,ELECTRIFY,Electrify,Smart,2,1,006,"Startles Pokemon that made the same type appeal."
599,IONDELUGE,Ion Deluge,Beauty,3,0,013,"Temporarily stops the crowd from growing excited."
600,MAGNETICFLUX,Magnetic Flux,Smart,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
#-----------------------------
601,LIGHTOFRUIN,Light of Ruin,Beauty,6,0,010,"After this move, the user is more easily startled."
602,FLEURCANNON,Fleur Cannon,Beauty,2,3,005,"Badly startles those that have made appeals."
603,MOONBLAST,Moonblast,Beauty,1,4,005,"Startles the Pokemon that appealed before the user."
604,PLAYROUGH,Play Rough,Cute,3,0,032,"Removes a star from Pokemon that have appealed already."
605,DAZZLINGGLEAM,Dazzling Gleam,Beauty,4,0,000,"A highly appealing move."
606,DRAININGKISS,Draining Kiss,Cute,1,0,034,"Earns the same amount as the last appeal."
607,DISARMINGVOICE,Disarming Voice,Cute,2,0,014,"The appeal works great if performed first."
608,FAIRYWIND,Fairy Wind,Beauty,4,0,000,"A highly appealing move."
609,NATURESMADNESS,Nature's Madness,Beauty,3,0,024,"Scrambles the order of appeals on the next turn."
610,AROMATICMIST,Aromatic Mist,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
611,BABYDOLLEYES,Baby-Doll Eyes,Cute,3,0,003,"The next appeal can be made earlier next turn."
612,CRAFTYSHIELD,Crafty Shield,Smart,3,0,014,"The appeal works great if performed first."
613,FAIRYLOCK,Fairy Lock,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
614,FLORALHEALING,Floral Healing,Beauty,2,0,001,"Can avoid being startled by others once."
615,FLOWERSHIELD,Flower Shield,Beauty,1,0,002,"Can avoid being startled by others."
616,GEOMANCY,Geomancy,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
617,MISTYTERRAIN,Misty Terrain,Beauty,3,0,014,"The appeal works great if performed first."
#-------------------------------
618,FLYINGPRESS,Flying Press,Tough,2,0,015,"Can be repeatedly used without boring the judge."
619,POWERUPPUNCH,Power-Up Punch,Tough,1,0,025,"Works well if its the same type as the one before."
620,MATBLOCK,Mat Block,Cool,1,3,005,"Badly startles those that have made appeals."
#-------------------------------
621,MINDBLOWN,Mind Blown,Smart,6,0,010,"After this move, the user is more easily startled."
622,SHELLTRAP,Shell Trap,Smart,1,4,008,"Badly startles the Pokemon in front."
623,BURNUP,Burn up,Smart,6,0,010,"After this move, the user is more easily startled."
624,FIRELASH,Fire Lash,Cool,3,0,003,"The next appeal can be made earlier next turn."
625,MYSTICALFIRE,Mystical Fire,Beauty,3,0,015,"Can be repeatedly used without boring the judge."
#--------------------------------
626,DRAGONASCENT,Dragon Ascent,Beauty,6,0,010,"After this move, the user is more easily startled."
627,BEAKBLAST,Beak Blast,Smart,0,0,027,"User earns double the score in it's next appeal."
628,OBLIVIONWING,Oblivion Wing,Cool,1,0,034,"Earns the same amount as the last appeal."
#--------------------------------
629,MOONGEISTBEAM,Moongeist Beam,Beauty,6,0,010,"After this move, the user is more easily startled."
630,PHANTOMFORCE,Phantom Force,Cool,1,0,002,"Can avoid being startled by others."
631,SPECTRALTHIEF,Spectral Thief,Tough,1,0,034,"Earns the same amount as the last appeal."
632,SHADOWBONE,Shadow Bone,Tough,3,0,021,"The appeal works great if performed last."
633,SPIRITSHACKLE,Spirit Shackle,Smart,1,4,008,"Badly startles the Pokemon in front."
634,TRICKORTREAT,Trick-Or-Treat,Cute,2,1,005,"Startles the Pokemon that appealed before the user."
#---------------------------------
635,SOLARBLADE,Solar Blade,Tough,4,0,001,"Can avoid being startled by others once."
636,PETALBLIZZARD,Petal Blizzard,Beauty,2,2,005,"Badly startles those that have made appeals."
637,TROPKICK,Trop Kick,Tough,1,4,008,"Badly startles the Pokemon in front."
638,LEAFAGE,Leafage,Smart,3,0,013,"Temporarily stops the crowd from growing excited."
639,FORESTSCURSE,Forest's Curse,Smart,2,1,005,"Badly startles those that have made appeals."
640,GRASSYTERRAIN,Grassy Terrain,Beauty,3,0,014,"The appeal works great if performed first."
641,SPIKYSHIELD,Spiky Shield,Tough,1,0,002,"Can avoid being startled by others."
642,STRENGTHSAP,Strength Sap,Smart,2,3,005,"Startles the Pokemon that appealed before the user."
#---------------------------------
643,PRECIPICEBLADES,Precipice Blades,Cool,3,0,021,"The appeal works great if performed last."
644,HIGHHORSEPOWER,High Horsepower,Tough,1,4,008,"Badly startles the Pokemon in front."
645,LANDSWRATH,Land's Wrath,Beauty,2,2,005,"Startles the Pokemon that appealed before the user."
646,THOUSANDARROWS,Thousand Arrows,Beauty,2,1,005,"Startles the Pokemon that appealed before the user."
647,THOUSANDWAVES,Thousand Waves,Tough,3,0,005,"Startles the Pokemon that appealed before the user."
648,STOMPINGTANTRUM,Stomping Tantrum,Tough,1,0,025,"Works well if its the same type as the one before."
649,ROTOTILLER,Rototiller,Tough,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
650,SHOREUP,Shore Up,Tough,1,0,002,"Can avoid being startled by others."
#---------------------------------
651,ICEHAMMER,Ice Hammer,Cool,2,0,014,"The appeal works great if performed first."
